,Compound Score,Negative Score,Neutral Score,News_organization,Positive Score,Tweets Ago
85,-0.296,0.109,0.891,CBS,0.0,86
86,-0.7964,0.264,0.736,CBS,0.0,87
87,-0.6597,0.18,0.82,CBS,0.0,88
88,0.3182,0.0,0.905,CBS,0.095,89
89,0.0,0.0,1.0,CBS,0.0,90
90,0.0,0.0,1.0,CBS,0.0,91
91,0.0,0.0,1.0,CBS,0.0,92
92,0.0,0.0,1.0,CBS,0.0,93
93,0.0,0.0,1.0,CBS,0.0,94
94,0.0,0.0,1.0,CBS,0.0,95
95,0.0,0.0,1.0,CBS,0.0,96
96,0.0,0.0,1.0,CBS,0.0,97
97,0.0,0.0,1.0,CBS,0.0,98
98,0.0,0.0,1.0,CBS,0.0,99
99,0.0,0.0,1.0,CBS,0.0,100
0,0.2023,0.1,0.762,CNN,0.138,1
1,0.0,0.0,1.0,CNN,0.0,2
2,0.0772,0.0,0.944,CNN,0.056,3
3,0.4588,0.0,0.81,CNN,0.19,4
4,0.0,0.0,1.0,CNN,0.0,5
5,-0.3818,0.148,0.852,CNN,0.0,6
6,0.0,0.0,1.0,CNN,0.0,7
7,0.5859,0.0,0.798,CNN,0.202,8
8,0.0,0.0,1.0,CNN,0.0,9
9,0.4939,0.0,0.842,CNN,0.158,10
10,0.0,0.0,1.0,CNN,0.0,11
11,0.5859,0.0,0.833,CNN,0.167,12
12,-0.5667,0.186,0.814,CNN,0.0,13
13,-0.6369,0.167,0.833,CNN,0.0,14
14,-0.296,0.095,0.905,CNN,0.0,15
15,-0.6929,0.266,0.665,CNN,0.069,16
16,0.128,0.111,0.754,CNN,0.136,17
17,0.6369,0.0,0.769,CNN,0.231,18
18,0.3182,0.0,0.897,CNN,0.103,19
19,0.0,0.0,1.0,CNN,0.0,20
20,0.2023,0.1,0.762,CNN,0.138,21
21,0.0,0.0,1.0,CNN,0.0,22
22,0.0772,0.0,0.944,CNN,0.056,23
23,0.4588,0.0,0.81,CNN,0.19,24
24,0.0,0.0,1.0,CNN,0.0,25
25,-0.3818,0.148,0.852,CNN,0.0,26
26,0.0,0.0,1.0,CNN,0.0,27
27,0.5859,0.0,0.798,CNN,0.202,28
28,0.0,0.0,1.0,CNN,0.0,29
29,0.4939,0.0,0.842,CNN,0.158,30
30,0.0,0.0,1.0,CNN,0.0,31
31,0.5859,0.0,0.833,CNN,0.167,32
32,-0.5667,0.186,0.814,CNN,0.0,33
33,-0.6369,0.167,0.833,CNN,0.0,34
34,-0.296,0.095,0.905,CNN,0.0,35
35,-0.6929,0.266,0.665,CNN,0.069,36
36,0.128,0.111,0.754,CNN,0.136,37
37,0.6369,0.0,0.769,CNN,0.231,38
38,0.3182,0.0,0.897,CNN,0.103,39
39,0.0,0.0,1.0,CNN,0.0,40
40,0.5719,0.0,0.844,CNN,0.156,41
41,-0.4404,0.121,0.879,CNN,0.0,42
42,0.0,0.0,1.0,CNN,0.0,43
43,0.5859,0.0,0.833,CNN,0.167,44
44,0.1531,0.0,0.909,CNN,0.091,45
45,0.8625,0.0,0.556,CNN,0.444,46
46,-0.6597,0.306,0.605,CNN,0.089,47
47,0.1779,0.0,0.922,CNN,0.078,48
